a,b,k,f_coefs,test_name,alg,time
1,100,1,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010967254638671875
1,100,1,"[5, -1, 1, -5, -3, 3]",normal,4,0.00013828277587890625
1,1000,1,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012047290802001953
1,1000,1,"[5, -1, 1, -5, -3, 3]",big b,4,5.555152893066406e-05
1,100,2,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012755393981933594
1,100,2,"[5, -1, 1, -5, -3, 3]",normal,4,4.9114227294921875e-05
1,1000,2,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011951923370361328
1,1000,2,"[5, -1, 1, -5, -3, 3]",big b,4,4.76837158203125e-05
1,100,3,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012683868408203125
1,100,3,"[5, -1, 1, -5, -3, 3]",normal,4,4.744529724121094e-05
1,1000,3,"[5, -1, 1, -5, -3, 3]",big b,3,0.001474618911743164
1,1000,3,"[5, -1, 1, -5, -3, 3]",big b,4,4.935264587402344e-05
1,100,4,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001251697540283203
1,100,4,"[5, -1, 1, -5, -3, 3]",normal,4,4.601478576660156e-05
1,1000,4,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011937618255615234
1,1000,4,"[5, -1, 1, -5, -3, 3]",big b,4,4.601478576660156e-05
1,100,5,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012612342834472656
1,100,5,"[5, -1, 1, -5, -3, 3]",normal,4,4.696846008300781e-05
1,1000,5,"[5, -1, 1, -5, -3, 3]",big b,3,0.003024578094482422
1,1000,5,"[5, -1, 1, -5, -3, 3]",big b,4,6.890296936035156e-05
1,100,6,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012993812561035156
1,100,6,"[5, -1, 1, -5, -3, 3]",normal,4,5.0067901611328125e-05
1,1000,6,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012888908386230469
1,1000,6,"[5, -1, 1, -5, -3, 3]",big b,4,7.62939453125e-05
1,100,7,"[5, -1, 1, -5, -3, 3]",normal,3,0.00026988983154296875
1,100,7,"[5, -1, 1, -5, -3, 3]",normal,4,0.00010943412780761719
1,1000,7,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012121200561523438
1,1000,7,"[5, -1, 1, -5, -3, 3]",big b,4,6.246566772460938e-05
1,100,8,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001270771026611328
1,100,8,"[5, -1, 1, -5, -3, 3]",normal,4,4.649162292480469e-05
1,1000,8,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011951923370361328
1,1000,8,"[5, -1, 1, -5, -3, 3]",big b,4,4.839897155761719e-05
1,100,9,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012683868408203125
1,100,9,"[5, -1, 1, -5, -3, 3]",normal,4,4.8160552978515625e-05
1,1000,9,"[5, -1, 1, -5, -3, 3]",big b,3,0.0018932819366455078
1,1000,9,"[5, -1, 1, -5, -3, 3]",big b,4,5.245208740234375e-05
1,100,10,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012540817260742188
1,100,10,"[5, -1, 1, -5, -3, 3]",normal,4,4.792213439941406e-05
1,1000,10,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011930465698242188
1,1000,10,"[5, -1, 1, -5, -3, 3]",big b,4,6.222724914550781e-05
1,100,11,"[5, -1, 1, -5, -3, 3]",normal,3,0.00011324882507324219
