a,b,k,f_coefs,alg,time
1,100,500,"[5, -1, 1, -5, -3, 3]",3,0.00021696090698242188
1,100,500,"[5, -1, 1, -5, -3, 3]",4,0.00034499168395996094
1,101,500,"[5, -1, 1, -5, -3, 3]",3,0.00022864341735839844
1,101,500,"[5, -1, 1, -5, -3, 3]",4,0.0002875328063964844
1,102,500,"[5, -1, 1, -5, -3, 3]",3,0.00021791458129882812
1,102,500,"[5, -1, 1, -5, -3, 3]",4,0.0002789497375488281
1,103,500,"[5, -1, 1, -5, -3, 3]",3,0.0002167224884033203
1,103,500,"[5, -1, 1, -5, -3, 3]",4,0.0002770423889160156
1,104,500,"[5, -1, 1, -5, -3, 3]",3,0.00021719932556152344
1,104,500,"[5, -1, 1, -5, -3, 3]",4,0.0002765655517578125
1,105,500,"[5, -1, 1, -5, -3, 3]",3,0.0002193450927734375
1,105,500,"[5, -1, 1, -5, -3, 3]",4,0.0002741813659667969
1,106,500,"[5, -1, 1, -5, -3, 3]",3,0.00021767616271972656
1,106,500,"[5, -1, 1, -5, -3, 3]",4,0.0002751350402832031
1,107,500,"[5, -1, 1, -5, -3, 3]",3,0.0002243518829345703
1,107,500,"[5, -1, 1, -5, -3, 3]",4,0.0002875328063964844
1,108,500,"[5, -1, 1, -5, -3, 3]",3,0.0002276897430419922
1,108,500,"[5, -1, 1, -5, -3, 3]",4,0.0002772808074951172
1,109,500,"[5, -1, 1, -5, -3, 3]",3,0.00022912025451660156
1,109,500,"[5, -1, 1, -5, -3, 3]",4,0.0002720355987548828
1,110,500,"[5, -1, 1, -5, -3, 3]",3,0.0002493858337402344
1,110,500,"[5, -1, 1, -5, -3, 3]",4,0.0002894401550292969
1,111,500,"[5, -1, 1, -5, -3, 3]",3,0.00023436546325683594
1,111,500,"[5, -1, 1, -5, -3, 3]",4,0.0002779960632324219
1,112,500,"[5, -1, 1, -5, -3, 3]",3,0.000392913818359375
1,112,500,"[5, -1, 1, -5, -3, 3]",4,0.00029778480529785156
1,113,500,"[5, -1, 1, -5, -3, 3]",3,0.0002532005310058594
1,113,500,"[5, -1, 1, -5, -3, 3]",4,0.0002827644348144531
1,114,500,"[5, -1, 1, -5, -3, 3]",3,0.00024271011352539062
1,114,500,"[5, -1, 1, -5, -3, 3]",4,0.0002770423889160156
1,115,500,"[5, -1, 1, -5, -3, 3]",3,0.00024318695068359375
1,115,500,"[5, -1, 1, -5, -3, 3]",4,0.0002918243408203125
1,116,500,"[5, -1, 1, -5, -3, 3]",3,0.00025391578674316406
1,116,500,"[5, -1, 1, -5, -3, 3]",4,0.0002837181091308594
1,117,500,"[5, -1, 1, -5, -3, 3]",3,0.00026535987854003906
1,117,500,"[5, -1, 1, -5, -3, 3]",4,0.00027489662170410156
1,118,500,"[5, -1, 1, -5, -3, 3]",3,0.0002701282501220703
1,118,500,"[5, -1, 1, -5, -3, 3]",4,0.0002875328063964844
1,119,500,"[5, -1, 1, -5, -3, 3]",3,0.00025153160095214844
1,119,500,"[5, -1, 1, -5, -3, 3]",4,0.0002815723419189453
1,120,500,"[5, -1, 1, -5, -3, 3]",3,0.0002522468566894531
1,120,500,"[5, -1, 1, -5, -3, 3]",4,0.0002753734588623047
1,121,500,"[5, -1, 1, -5, -3, 3]",3,0.0002484321594238281
1,121,500,"[5, -1, 1, -5, -3, 3]",4,0.0002772808074951172
1,122,500,"[5, -1, 1, -5, -3, 3]",3,0.0002536773681640625
1,122,500,"[5, -1, 1, -5, -3, 3]",4,0.0002791881561279297
1,123,500,"[5, -1, 1, -5, -3, 3]",3,0.0002608299255371094
1,123,500,"[5, -1, 1, -5, -3, 3]",4,0.0002868175506591797
1,124,500,"[5, -1, 1, -5, -3, 3]",3,0.00028967857360839844
1,124,500,"[5, -1, 1, -5, -3, 3]",4,0.00029277801513671875
1,125,500,"[5, -1, 1, -5, -3, 3]",3,0.00026535987854003906
1,125,500,"[5, -1, 1, -5, -3, 3]",4,0.00027751922607421875
1,126,500,"[5, -1, 1, -5, -3, 3]",3,0.00026679039001464844
1,126,500,"[5, -1, 1, -5, -3, 3]",4,0.00027823448181152344
